,text,start,end,avg_logprob,no_speech_prob,words,words_start,words_end,words_len,id
0, con esta y,0.0,2.82,-0.7412430547898815,0.3483375012874603,"[' con', ' esta', ' y']","[0.0, 0.2, 0.7]","[0.2, 0.7, 2.82]",3,audio2
1," con esta cuánto año cumplió bepito. A ver tu allá, cuáles tus años te piensan bepito.",3.42,9.2,-0.7412430547898815,0.3483375012874603,"[' con', ' esta', ' cuánto', ' año', ' cumplió', ' bepito.', ' A', ' ver', ' tu', ' allá,', ' cuáles', ' tus', ' años', ' te', ' piensan', ' bepito.']","[3.42, 3.84, 4.44, 5.06, 5.42, 5.88, 6.62, 6.72, 6.84, 7.08, 7.66, 7.92, 8.02, 8.24, 8.52, 8.64]","[3.84, 4.44, 5.06, 5.42, 5.88, 6.52, 6.72, 6.84, 7.08, 7.4, 7.92, 8.02, 8.24, 8.46, 8.64, 9.2]",16,audio2
2," Te voy la fea, mire para allá,",9.56,11.04,-0.7412430547898815,0.3483375012874603,"[' Te', ' voy', ' la', ' fea,', ' mire', ' para', ' allá,']","[9.56, 9.68, 9.78, 9.96, 10.3, 10.54, 10.76]","[9.68, 9.78, 9.96, 10.28, 10.54, 10.76, 11.04]",7,audio2
3," caballero,",11.66,12.14,-0.7412430547898815,0.3483375012874603,"[' caballero,']",[11.66],[12.14],1,audio2
4," tres, tres, y por qué tres?",12.76,14.82,-0.7412430547898815,0.3483375012874603,"[' tres,', ' tres,', ' y', ' por', ' qué', ' tres?']","[12.76, 13.2, 14.12, 14.22, 14.46, 14.56]","[12.9, 13.86, 14.22, 14.46, 14.52, 14.82]",6,audio2
5," A ver, los tres, tres, tres, tres, tres, tres,",15.56,18.12,-0.7412430547898815,0.3483375012874603,"[' A', ' ver,', ' los', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,']","[15.56, 15.8, 16.0, 16.0, 16.48, 16.78, 16.84, 17.18, 17.66]","[15.8, 15.8, 16.0, 16.24, 16.62, 16.84, 17.18, 17.66, 18.12]",9,audio2
6," tres, tres, tres, tres, tres, tres, entonces, tres, tres, tres, tres, tres, tres, tres, tres, tres, tres, tres, tres,",18.72,23.74,-0.7412430547898815,0.3483375012874603,"[' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' entonces,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,', ' tres,']","[18.72, 19.04, 19.16, 19.2, 20.14, 20.48, 20.52, 21.26, 22.16, 22.5, 22.68, 22.76, 22.86, 23.08, 23.32, 23.42, 23.54, 23.54, 23.74]","[19.04, 19.16, 19.2, 20.02, 20.48, 20.52, 20.8, 22.02, 22.16, 22.68, 22.76, 22.82, 22.86, 23.08, 23.42, 23.54, 23.54, 23.74, 23.74]",19,audio2
7," tres,",25.54,25.54,-0.7412430547898815,0.3483375012874603,"[' tres,']",[25.54],[25.54],1,audio2
8, ¿Qué?,25.74,25.86,-0.6636484128619553,0.04704298824071884,[' ¿Qué?'],[25.74],[25.86],1,audio2
9, ¿Qué te entieron?,26.02,26.76,-0.6636484128619553,0.04704298824071884,"[' ¿Qué', ' te', ' entieron?']","[26.02, 26.44, 26.52]","[26.44, 26.52, 26.76]",3,audio2
